Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
what to avoid when taking low dose naltrexone,11,13,9900,11,2.1,https://example.com/info/what-to-avoid-when-taking-low-dose-naltrexone.html,188,0.01,394.0,0.05,1800000,"[44,54,54,54,100,100,81,100,81,81,81,100]",2023-09-09,"Sitelinks, Indented, Related searches",informational,Organic
4 panel drug test,1,0,4400,29,2.62,https://example.com/blog/urine-4-panel-xm-occupational-health-testing-nyc/,143,0.01,374.0,0.08,396000000,"[100,81,100,81,66,81,81,100,100,100,100,100]",2023-09-09,"Video, Featured snippet, Image, People also ask, Popular products, Related searches",informational,People also ask
bzo drug test,1,1,1600,28,2.74,https://example.com/blog/bzo-drug-test-meaning-nyc/,105,0.0,287.0,0.02,243000,"[100,100,100,100,81,100,81,100,100,81,100,81]",2023-09-08,"Sitelinks, Reviews, Featured snippet, Image, People also ask, Indented, Related searches",informational,People also ask
ri corporate database,4,4,1300,27,2.93,https://example.com/info/ri-corporate-database-benefits.html,84,0.0,246.0,0.01,13000000,"[81,62,81,62,55,100,81,81,81,62,81,81]",2023-09-07,"Image pack, Indented, Related searches",informational,Organic
negative for intraepithelial lesion or malignancy,6,6,3600,29,2.9,https://example.com/blog/pap-smear-negative-intraepithelial-lesion-meaning/,79,0.0,229.0,0.0,99,"[81,81,81,81,81,100,100,100,81,100,100,81]",2023-09-05,"Sitelinks, Featured snippet, People also ask, Indented, Related searches",informational,Organic
gladiator protein,1,1,2400,12,1.21,https://example.com/blog/smoothie-king-gladiator-review/,78,0.0,94.0,0.47,3270000,"[100,79,66,66,66,100,100,100,100,100,100,100]",2023-09-06,"Image pack, Reviews, Video, Image, People also ask, Recipes, Indented, Related searches",informational,People also ask
anteroseptal infarct,7,7,3600,24,1.67,https://example.com/blog/anteroseptal-myocardial-infarction-symptoms-nao-medical/,68,0.0,113.0,0.03,157000,"[81,81,81,81,81,81,100,100,100,81,81,81]",2023-09-05,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches","commercial, informational",Organic
hyperkalemia icd 10,9,0,6600,27,3.88,https://example.com/info/understanding-icd-10-hyperkalemia-causes-symptoms-treatment.html,59,0.0,228.0,0.0,392000,"[81,81,81,81,81,100,81,100,100,100,81,81]",2023-09-09,"Image pack, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
hyperkalemia icd 10,10,11,6600,27,3.88,https://example.com/info/understanding-hyperkalemia-icd10-codes.html,46,0.0,178.0,0.0,392000,"[81,81,81,81,81,100,81,100,100,100,81,81]",2023-09-09,"Image pack, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
triancinolona acetonida,5,5,1900,28,1.24,https://example.com/info/triancinolona-acetonida-uses-side-effects-precautions.html,45,0.0,55.0,0.03,56800,"[79,66,79,79,79,100,100,100,100,79,79,79]",2023-09-07,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Indented, Related searches",informational,Organic
ozempic nausea relief,6,0,1900,28,4.22,https://example.com/info/managing-ozempic-nausea-tips-strategies-relief-2.html,41,0.0,173.0,0.06,750000,"[34,55,55,55,65,82,82,100,100,100,82,65]",2023-09-09,"Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
webster bank hours,6,6,1900,17,1.18,https://example.com/info/webster-bank-hours.html,41,0.0,48.0,0.02,16200000,"[54,79,79,79,100,66,66,79,41,66,79,100]",2023-09-06,"Image pack, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
how long does nausea last with wegovy,3,3,1300,22,3.66,https://example.com/info/how-long-does-nausea-from-wegovy-last.html,39,0.0,142.0,0.04,338000,"[16,13,13,10,16,66,100,100,100,100,100,100]",2023-09-03,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
boric acid for uti,5,5,1600,29,2.32,https://example.com/blog/boric-acid-solution-uti-treatment/,38,0.0,88.0,1.0,416000,"[68,100,68,52,68,84,68,84,84,84,84,84]",2023-09-07,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
is tropical smoothie healthy,7,7,1900,27,1.71,https://example.com/blog/is-tropical-smoothie-cafe-healthy-review-2/,36,0.0,61.0,0.01,25900000,"[79,66,54,54,41,79,79,79,79,100,100,79]",2023-09-08,"Sitelinks, Reviews, Video, Featured snippet, People also ask, FAQ, Recipes, Related searches",informational,Organic
16 panel drug test,1,1,1000,19,1.1,https://example.com/blog/does-sarms-show-up-on-a-drug-test-nyc/,32,0.0,35.0,0.45,283000000,"[76,76,76,55,55,67,67,76,67,76,100,76]",2023-09-08,"Ads bottom, People also ask","commercial, informational",People also ask
does united healthcare cover wegovy for weight loss,4,56,1300,29,3.15,https://example.com/info/wegovy-united-healthcare-coverage.html,31,0.0,97.0,0.22,220000,"[4,8,13,24,24,79,79,100,79,100,100,66]",2023-09-09,"People also ask, Indented, Related searches",informational,Organic
does united healthcare cover wegovy for weight loss,5,0,1300,29,3.15,https://example.com/info/does-united-care-cover-wegovy.html,31,0.0,97.0,0.22,220000,"[4,8,13,24,24,79,79,100,79,100,100,66]",2023-09-09,"People also ask, Indented, Related searches",informational,Organic
what happens if ozempic is not refrigerated before first use,5,5,1300,26,3.46,https://example.com/blog/what-happens-if-ozempic-is-not-refrigerated-before-first-use/,31,0.0,107.0,0.12,91,"[0,0,0,2,41,100,100,100,100,100,100,79]",2023-09-03,"Sitelinks, Reviews, Video, Featured snippet, Ads top, Ads bottom, People also ask, Indented, Related searches",informational,Organic
how long does nausea last with wegovy,4,4,1300,22,3.66,https://example.com/blog/how-long-does-nausea-last-with-wegovy/,31,0.0,113.0,0.04,338000,"[16,13,13,10,16,66,100,100,100,100,100,100]",2023-09-03,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
nkda allergy,5,5,1300,28,1.58,https://example.com/info/nkda-medical-understanding-non-known-drug-allergies.html,31,0.0,48.0,0.0,76700,"[84,100,84,84,52,37,68,84,68,100,31,100]",2023-09-06,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
mounjaro pen malfunction,2,2,1000,28,3.41,https://example.com/info/fix-mounjaro-pen-misfire.html,30,0.0,102.0,0.13,51,"[0,20,76,100,76,76,100,76,76,76,76,100]",2023-09-07,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
boric acid for uti,7,7,1600,29,2.32,https://example.com/blog/boric-acid-uti-prevention/,30,0.0,69.0,1.0,416000,"[68,100,68,52,68,84,68,84,84,84,84,84]",2023-09-07,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
lingular pneumonia,3,3,1000,28,1.45,https://example.com/lingular-pneumonia-icd-10-symptoms-causes-treatment-nao-medical/,30,0.0,43.0,0.03,42500,"[55,55,100,100,76,100,100,100,100,76,76,76]",2023-09-08,"Image, People also ask, Related searches",informational,Organic
can ozempic cause joint pain,7,7,1600,19,4.2,https://example.com/info/ozempic-cause-joint-pain.html,30,0.0,126.0,0.03,267000,"[52,68,68,52,68,84,84,100,100,100,84,68]",2023-09-03,"Featured snippet, Image, Ads bottom, People also ask, Indented, Related searches",informational,Organic
nonischemic cardiomyopathy icd 10,7,7,1300,23,3.99,https://example.com/info/understanding-nonischemic-cardiomyopathy-icd-10.html,24,0.0,95.0,0.0,72,"[81,81,81,62,81,81,81,81,81,100,100,100]",2023-09-06,"Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
rib out of place self adjustment,7,7,1300,8,3.67,https://example.com/info/self-adjust-back-rib-out-of-place.html,24,0.0,88.0,0.01,6460000,"[84,100,68,84,84,84,100,84,52,46,46,52]",2023-09-08,"Reviews, Video, Featured snippet, People also ask",informational,Organic
ketamine lozenges,11,11,1300,13,2.5,https://example.com/info/ketamine-lozenges-prescription.html,24,0.0,60.0,0.39,98900,"[62,55,55,100,81,100,81,62,81,81,81,55]",2023-09-09,"Image, Indented, Related searches",informational,Organic
drinking night before pre employment drug test,4,4,1000,20,1.28,https://example.com/blog/can-i-drink-alcohol-before-a-drug-test-nyc/,24,0.0,30.0,0.01,12800000,"[100,100,76,76,76,100,100,67,76,76,76,76]",2023-09-08,"Sitelinks, People also ask, FAQ, Related searches",informational,Organic
136 86 blood pressure,7,7,1300,26,1.14,https://example.com/is-136-86-high-blood-pressure-understanding-blood-pressure-readings/,24,0.0,27.0,0.0,96100000,"[62,81,62,55,55,81,81,100,81,81,81,81]",2023-09-04,"Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
moderate persistent asthma icd 10,6,6,1000,26,4.98,https://example.com/blog/moderate-persistent-asthma-icd-10-nao-medical-2/,22,0.0,109.0,0.01,232000,"[67,100,100,76,67,67,100,67,67,67,76,76]",2023-09-10,"Featured snippet, People also ask, Indented, Related searches",informational,Organic
can you ovulate without a period,12,12,4400,25,1.42,https://example.com/info/can-you-still-ovulate-and-not-have-a-period.html,22,0.0,31.0,0.01,4430000,"[81,66,66,81,81,81,66,81,81,81,66,81]",2023-09-10,"Sitelinks, Featured snippet, People also ask, Indented, Related searches",informational,Organic
gladiator protein,8,8,2400,12,1.21,https://example.com/blog/smoothie-king-gladiator-protein-benefits-risks-alternatives/,21,0.0,25.0,0.47,3270000,"[100,79,66,66,66,100,100,100,100,100,100,100]",2023-09-06,"Image pack, Reviews, Video, Image, People also ask, Recipes, Indented, Related searches",informational,Organic
amoxicillin for std,8,8,1600,20,1.7,https://example.com/info/can-i-take-amoxicillin-for-std.html,20,0.0,34.0,0.1,1290000,"[84,84,100,84,84,100,68,100,84,100,68,84]",2023-09-05,"Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, informational",Organic
how long does ozempic fatigue last,8,8,1600,27,4.19,https://example.com/info/ozempic-and-exhaustion-causes-symptoms-management.html,20,0.0,83.0,0.06,773000,"[10,20,24,36,79,79,79,100,79,100,79,79]",2023-09-03,"Sitelinks, Featured snippet, Ads bottom, People also ask, Related searches",informational,Organic
kapspargo sprinkle,10,10,2900,15,2.25,https://example.com/info/how-to-take-kapspargo-sprinkle-dosage-instructions-tips.html,20,0.0,45.0,0.02,97,"[80,80,80,80,52,100,100,100,80,80,80,66]",2023-09-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Organic
can ozempic cause joint pain,8,8,1600,19,4.2,https://example.com/does-ozempic-cause-joint-pain/,20,0.0,84.0,0.03,267000,"[52,68,68,52,68,84,84,100,100,100,84,68]",2023-09-03,"Featured snippet, Image, Ads bottom, People also ask, Indented, Related searches",informational,Organic
wegovy side effects with alcohol,7,7,1000,15,6.14,https://example.com/info/can-i-drink-alcohol-with-wegovy-effects-risks-recommendations.html,19,0.0,116.0,0.07,271000000,"[7,8,13,11,13,46,84,84,84,84,84,100]",2023-09-07,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
midol vs ibuprofen,7,7,1000,23,1.55,https://example.com/blog/coping-with-menstrual-pain-advil-vs-midol/,19,0.0,29.0,0.01,222000,"[76,67,76,67,67,76,76,76,76,76,76,76]",2023-09-09,"Sitelinks, Image, People also ask, Related searches",informational,Organic
hypertriglyceridemia icd 10,11,11,3600,26,6.24,https://example.com/info/understanding-hypertriglyceridemia-icd10-causes-symptoms-treatment.html,18,0.0,112.0,0.0,104000,"[81,81,81,81,65,81,81,100,81,81,100,81]",2023-09-06,"Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
allen cognitive levels,11,11,1900,26,2.88,https://example.com/info/allen-cognitive-levels-screen-guide.html,17,0.0,48.0,0.01,65000000,"[79,66,54,54,54,66,79,100,100,100,100,79]",2023-09-05,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, FAQ, Indented, Related searches",informational,Organic
maternit21 test,9,9,1900,26,2.61,https://example.com/info/what-does-maternit21-test-for.html,17,0.0,44.0,0.03,116000,"[100,79,79,79,66,100,79,79,66,66,66,66]",2023-09-05,"Video, Image, People also ask, FAQ, Indented, Related searches","commercial, informational",Organic
