Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
honey and salt pre workout,1,42,2900,18,1.26,https://example.com/blog/natural-pre-workout-honey-and-salt-nao-medical/,719,0.06,905.0,0.01,6900000,"[0,0,3,0,0,10,5,3,3,100,36,29]",2023-09-09,"Image pack, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
sunny d seltzer,1,0,18100,28,1.12,https://example.com/health/sunny-d-vodka-seltzer-nutrition-facts/?amp=1,588,0.05,658.0,0.44,2320000,"[0,0,0,0,0,0,0,100,66,54,44,30]",2023-09-10,"Knowledge panel, Reviews, Image, Video Carousel, People also ask, Indented, Popular products, Related searches","informational, transactional",People also ask
acxion pills,12,11,22200,29,1.91,https://example.com/blog/acxion-diet-pills-safe-effective-weight-loss/,288,0.02,550.0,0.61,86,"[36,30,24,20,16,20,20,30,54,30,20,20]",2023-09-09,,informational,Organic
can i drink alcohol if i have covid 2022,1,1,1000,21,1.65,https://example.com/blog/can-i-drink-alcohol-if-i-have-covid/,248,0.02,409.0,0.05,280000000,"[16,52,80,66,100,20,10,5,1,1,0,1]",2023-09-07,"Sitelinks, Recipes, Related searches",informational,Organic
wegovy leaked out of injection site,2,2,1600,29,5.74,https://example.com/info/what-to-do-if-wegovy-pen-leaks-after-injection.html,211,0.01,1211.0,0.1,53,"[3,3,3,3,2,36,52,80,100,80,80,66]",2023-09-08,"Sitelinks, Featured snippet, Image, Ads bottom, People also ask, Indented, Related searches",informational,Organic
what to avoid when taking low dose naltrexone,11,13,9900,11,2.1,https://example.com/info/what-to-avoid-when-taking-low-dose-naltrexone.html,188,0.01,394.0,0.05,1800000,"[44,54,54,54,100,100,81,100,81,81,81,100]",2023-09-09,"Sitelinks, Indented, Related searches",informational,Organic
can you take tylenol on an empty stomach,6,9,6600,27,6.87,https://example.com/info/does-tylenol-have-to-be-taken-with-food.html,145,0.01,996.0,0.0,2230000,"[66,54,66,81,81,66,66,66,66,66,66,54]",2023-09-09,"Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
4 panel drug test,1,0,4400,29,2.62,https://example.com/blog/urine-4-panel-xm-occupational-health-testing-nyc/,143,0.01,374.0,0.08,396000000,"[100,81,100,81,66,81,81,100,100,100,100,100]",2023-09-09,"Video, Featured snippet, Image, People also ask, Popular products, Related searches",informational,People also ask
dark energy pre workout,7,6,4400,7,1.24,https://example.com/blog/dark-energy-pre-workout-dmaa/,132,0.01,163.0,1.0,12100000,"[10,10,7,7,5,7,5,7,8,4,4,5]",2023-09-10,"Sitelinks, Reviews, Video, Image, Indented, Related searches","commercial, informational",Organic
where can i find wegovy in stock,3,0,3600,29,1.65,https://example.com/info/where-to-find-wegovy-in-stock-4.html,126,0.01,207.0,0.14,98,"[0,0,0,1,2,13,7,3,4,29,100,100]",2023-09-09,"Local pack, Video, Image, People also ask, Indented, Related searches",informational,Organic
